SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,001,New York,Albany County,1,0,314838,153136,161702,115904,121466,21283,23557,525,532,10612,11208,126,121,4686,4818,120140,125726,24066,26627,1222,1292,12356,12845,295,318,142584,150678,108813,114239,19006,21053,225,243,10497,11085,72,74,3971,3984,112383,117725,21214,23427,772,848,12192,12664,205,235,10552,11024,7091,7227,2277,2504,300,289,115,123,54,47,715,834,7757,8001,2852,3200,450,444,164,181,90,83
050,36,001,New York,Albany County,1,1,15336,7837,7499,4989,4700,1484,1443,36,36,742,677,15,14,571,629,5540,5314,1847,1853,68,73,940,886,24,22,6935,6572,4482,4203,1214,1192,12,12,725,662,9,9,493,494,4960,4687,1510,1485,30,30,919,862,14,12,902,927,507,497,270,251,24,24,17,15,6,5,78,135,580,627,337,368,38,43,21,24,10,10
050,36,001,New York,Albany County,1,2,16357,8470,7887,5307,4925,1587,1566,47,24,861,719,18,18,650,635,5933,5540,2004,1995,89,54,1085,922,28,28,7542,6983,4750,4417,1380,1329,9,8,845,693,9,14,549,522,5280,4925,1712,1660,35,25,1063,889,17,20,928,904,557,508,207,237,38,16,16,26,9,4,101,113,653,615,292,335,54,29,22,33,11,8
050,36,001,New York,Albany County,1,3,16357,8397,7960,5399,5116,1681,1596,44,26,647,666,7,6,619,550,5992,5635,2090,1973,87,62,863,842,15,17,7524,7119,4875,4625,1463,1370,15,9,637,659,5,2,529,454,5381,5051,1791,1662,44,31,850,830,12,11,873,841,524,491,218,226,29,17,10,7,2,4,90,96,611,584,299,311,43,31,13,12,3,6
050,36,001,New York,Albany County,1,4,22381,10901,11480,7617,7853,1868,2078,34,34,830,934,14,8,538,573,8112,8381,2219,2465,85,90,1019,1121,30,26,9834,10400,6911,7172,1623,1808,18,11,814,923,10,5,458,481,7336,7617,1905,2114,52,47,998,1106,20,21,1067,1080,706,681,245,270,16,23,16,11,4,3,80,92,776,764,314,351,33,43,21,15,10,5
050,36,001,New York,Albany County,1,5,32020,15670,16350,11388,11531,2329,2692,42,70,1227,1524,15,7,669,526,11999,12007,2772,3052,129,147,1453,1689,34,26,14278,14909,10504,10556,1982,2369,20,25,1217,1510,9,2,546,447,11003,10963,2323,2662,77,83,1437,1673,24,17,1392,1441,884,975,347,323,22,45,10,14,6,5,123,79,996,1044,449,390,52,64,16,16,10,9
050,36,001,New York,Albany County,1,6,21787,10905,10882,7681,7571,2021,2014,46,39,782,874,10,10,365,374,8011,7911,2236,2246,97,93,915,1003,30,25,9982,9891,7064,6893,1815,1801,13,16,776,867,7,8,307,306,7342,7169,1988,1978,49,53,905,989,23,20,923,991,617,678,206,213,33,23,6,7,3,2,58,68,669,742,248,268,48,40,10,14,7,5
050,36,001,New York,Albany County,1,7,19853,9948,9905,7308,7005,1512,1643,31,41,835,916,8,9,254,291,7531,7269,1625,1807,71,87,965,1031,24,23,9080,9072,6657,6445,1362,1453,14,15,824,909,4,7,219,243,6846,6664,1452,1580,46,48,951,1022,17,19,868,833,651,560,150,190,17,26,11,7,4,2,35,48,685,605,173,227,25,39,14,9,7,4
050,36,001,New York,Albany County,1,8,19878,9862,10016,7453,7212,1267,1545,25,27,902,980,6,11,209,241,7635,7415,1372,1675,59,69,995,1088,19,33,9098,9278,6897,6685,1119,1387,7,13,898,976,5,7,172,210,7044,6861,1197,1492,34,46,988,1083,16,27,764,738,556,527,148,158,18,14,4,4,1,4,37,31,591,554,175,183,25,23,7,5,3,6
050,36,001,New York,Albany County,1,9,17690,8820,8870,6641,6275,1154,1414,20,30,831,919,7,15,167,217,6786,6454,1239,1534,54,67,903,1014,12,33,8160,8259,6160,5869,1033,1271,10,12,823,914,2,7,132,186,6273,6019,1094,1368,34,46,889,1006,7,21,660,611,481,406,121,143,10,18,8,5,5,8,35,31,513,435,145,166,20,21,14,8,5,12
